State,County,FIPS,CensusTract,POP2010,OHU2010,MedianFamilyIncome,lapop20,lalowi20,lasnap20,TractLOWI,TractSNAP,lapop20_share,lalowi20_share,lasnap20_share
AK,0,2195,2195000200,3815,1599,84844,57.21157378,8.018288724,2.241648903,771,128,1.499648068,0.210177948,1.751288205
AK,0,2198,8792940700,5559,2194,182948,1022.044973,559.2369244,85.80840698,2447,550,18.38541055,10.06002742,15.60152854
AK,0,2275,2275000300,2369,1053,66071,193.3386507,58.90084422,12.73104748,696,171,8.161192516,2.486316767,7.445057006
AK,Aleutians East,2013,2013000100,3141,553,63250,2045.077214,1018.825346,44.340431,1573,84,65.10911219,32.43633703,52.78622738
AK,Aleutians West,2016,4032000300,5561,1212,153308,1185.000011,459.9671071,35.0595234,1780,78,21.30911726,8.271302052,44.94810692
AK,Anchorage,2020,1.111E+11,291826,107332,5009016,18.45862629,3.041217043,0.289294453,65978,8983,0.006325216,0.001042134,0.003220466
AK,Bethel,2050,6150000600,17013,4651,158649,8143.8624,5290.857354,995.0577338,8937,1555,47.86846764,31.0989088,63.99085105
AK,Bristol Bay,2060,2060000100,997,423,92083,996.9999981,176.1024336,21.25628132,177,20,99.99999981,17.66323306,106.2814066
AK,Denali,2068,2068000100,1826,806,102552,1826.000014,418.7696352,21.2105264,480,19,100.0000008,22.93371496,111.6343495
AK,Dillingham,2070,4140000300,4847,1563,126559,1729.622325,1150.773195,197.9940877,2287,330,35.6843888,23.74196812,59.99820839
AK,Fairbanks North Star,2090,39710019000,97581,36441,1527638,909.5273219,226.3839536,29.45223787,21924,2306,0.932074197,0.231995935,1.277200255
AK,Haines,2100,2100000100,2508,1149,66250,434.2534701,156.1788792,20.47717745,800,122,17.31473166,6.227228038,16.78457168
AK,Hoonah-Angoon,2105,2105000200,95,41,51250,6.646032999,2.416739257,0.465162383,24,5,6.995824209,2.54393606,9.30324766
AK,Juneau,2110,12660002100,31275,12187,585242,28.99988116,4.370711664,1.136188827,5725,978,0.092725439,0.013975097,0.116174727
AK,Kenai Peninsula,2122,27586009100,55400,22161,973259,1488.21631,436.7752442,35.2232848,14372,1762,2.686311029,0.788402968,1.999051351
AK,Ketchikan Gateway,2130,8520001000,13477,5305,340701,23.17786131,0,0.823375669,3373,752,0.171980866,0,0.109491445
AK,Kodiak Island,2150,10750001500,13592,4630,371695,487.6159858,219.5079709,16.65827178,3753,418,3.587521967,1.614979186,3.985232483
AK,Lake and Peninsula,2164,2164000100,1631,553,54148,1625.100204,708.1138411,104.5774278,648,97,99.63827124,43.4159314,107.8117812
AK,Matanuska-Susitna,2170,52080016643,88995,31824,1949767,3694.270434,1373.429294,201.3493334,23491,3398,4.151098864,1.543265683,5.925524822
AK,Nome,2180,4360000300,9492,2815,108358,4442.699836,3024.109566,592.6225881,5227,873,46.80467589,31.85956138,67.88345797
AK,North Slope,2185,6555000600,9430,2029,161607,5217.000069,1148.96305,118.1052638,2305,341,55.32343657,12.18412566,34.63497472
AK,Northwest Arctic,2188,4376000300,7523,1919,133002,3506.053844,2133.877585,367.8940754,3527,588,46.60446423,28.364716,62.56701963
AK,Sitka,2220,4440000300,8881,3545,159789,34.88431959,0,1.148861333,1900,341,0.392797203,0,0.336909482
AK,Skagway Municipality,2230,2230000100,968,436,84375,0.159331717,0.025967544,0.005352228,162,13,0.016459888,0.002682598,0.041170985
AK,Southeast Fairbanks,2240,4480000500,7029,2567,133918,2633.580829,1066.797633,156.5935664,2518,234,37.46736135,15.17708968,66.92032753
AK,Valdez-Cordova,2261,6783000600,9636,3966,270974,1674.754109,613.8264023,95.36599684,2305,233,17.38017963,6.37013701,40.92961238
AK,Wade Hampton,2270,2270000100,7459,1745,42072,3992.999985,2725.939362,482.4189323,5390,892,53.53264493,36.545641,54.08283994
AK,Yakutat,2282,2282000100,662,270,76000,662.000001,167.8456684,26.49056628,161,26,100.0000002,25.35433057,101.8867934
AK,Yukon-Koyukuk,2290,9160001000,5588,2217,192891,5587.999995,2779.799148,718.4970758,2764,665,99.99999991,49.74586878,108.0446731
AL,Autauga,1001,12012247403,54571,20221,732995,0,0,0,18692,2682,0,0,0
AL,Baldwin,1003,31093340873,182265,73180,1880613,0,0,0,63277,6471,0,0,0
AL,Barbour,1005,9053554500,27457,9820,388107,0,0,0,12484,2097,0,0,0
AL,Bibb,1007,4028040010,22915,7953,173450,0,0,0,10123,1125,0,0,0
AL,Blount,1009,9081453506,57322,21578,469224,0,0,0,22865,2900,0,0,0
AL,Bullock,1011,3035856800,10914,3745,135821,0,0,0,5279,794,0,0,0
AL,Butler,1013,9125577900,20947,8491,383333,0,0,0,10643,2123,0,0,0
AL,Calhoun,1015,31467986718,118572,47331,1290421,0,0,0,50179,8904,0,0,0
AL,Chambers,1017,9161588400,34215,13933,375212,0,0,0,16574,2519,0,0,0
AL,Cherokee,1019,6119735203,25989,10626,273186,0,0,0,11661,1960,0,0,0
AL,Chilton,1021,9189543306,43643,16558,472111,0,0,0,18310,2952,0,0,0
AL,Choctaw,1023,4095827400,13859,5866,193441,0,0,0,5522,1266,0,0,0
AL,Clarke,1025,9233620009,25833,10337,404304,0,0,0,11721,1907,0,0,0
AL,Clay,1027,4111836200,13932,5670,171716,0,0,0,6763,877,0,0,0
AL,Cleburne,1029,4119838600,14972,5891,179611,0,0,0,6395,850,0,0,0
AL,Coffee,1031,14434150303,49948,19849,730688,0,0,0,19665,2518,0,0,0
AL,Colbert,1033,14462288614,54428,22773,690673,0,0,0,21551,3874,0,0,0
AL,Conecuh,1035,5179802000,13228,5625,173514,0,0,0,7651,1497,0,0,0
AL,Coosa,1037,3113883300,11539,4794,132536,0,0,0,5708,785,0,0,0
AL,Covington,1039,14559472300,37765,15531,626540,0,0,0,16914,2517,0,0,0
AL,Crenshaw,1041,6251781900,13906,5652,301040,0,0,0,6070,999,0,0,0
AL,Cullman,1043,18791368703,80406,31864,875860,0,0,0,34526,4447,0,0,0
AL,Dale,1045,14630289906,50251,20065,765958,0,0,0,18224,3240,0,0,0
AL,Dallas,1047,15719350006,43820,17064,551409,0,0,0,24877,5176,0,0,0
AL,DeKalb,1049,14699450500,71109,26842,653557,0,0,0,32342,3988,0,0,0
AL,Elmore,1051,15765460706,79303,28301,956862,0,0,0,22358,3429,0,0,0
AL,Escambia,1053,9485732500,38319,14157,352805,0,0,0,19613,3404,0,0,0
AL,Etowah,1055,31650182612,104430,42036,1319856,0,0,0,44882,6554,0,0,0
AL,Fayette,1057,5285101000,17241,7100,215114,0,0,0,8173,1619,0,0,0
AL,Franklin,1059,9539759700,31704,12286,417795,0,0,0,15243,2304,0,0,0
AL,Geneva,1061,6366302100,26790,10920,275868,0,0,0,12500,1995,0,0,0
AL,Greene,1063,3189180300,9045,3764,91678,0,0,0,5738,1231,0,0,0
AL,Hale,1065,6390241500,15760,6273,251897,0,0,0,7867,1499,0,0,0
AL,Henry,1067,6402182100,17302,6994,334730,0,0,0,6601,1155,0,0,0
AL,Houston,1069,23518902306,101547,40969,1067495,0,0,0,42383,5731,0,0,0
AL,Jackson,1071,11791456600,53227,21513,498781,0,0,0,22772,3025,0,0,0
AL,Jefferson,1073,1.749E+11,658466,263568,9400933,0,0,0,243528,39967,0,0,0
AL,Lamar,1075,3225090300,14564,6103,121966,0,0,0,7298,1433,0,0,0
AL,Lauderdale,1077,23694244218,92709,38680,1131607,0,0,0,35490,5388,0,0,0
AL,Lawrence,1079,9719815500,34339,13654,453808,0,0,0,13904,2507,0,0,0
AL,Lee,1081,29188113735,140247,55682,1550578,0,0,0,60832,6406,0,0,0
AL,Limestone,1083,17328329312,82782,31446,927367,0,0,0,27460,4380,0,0,0
AL,Lowndes,1085,4343124100,11299,4352,149636,0,0,0,5921,1210,0,0,0
AL,Macon,1087,13046781706,21452,8499,560185,0,0,0,9961,2464,0,0,0
AL,Madison,1089,79497376663,334811,134700,5127319,0,0,0,100184,14817,0,0,0
AL,Marengo,1091,6551838900,21027,8535,268954,0,0,0,9943,1961,0,0,0
AL,Marion,1093,8751714800,30776,12651,347426,0,0,0,13978,2580,0,0,0
AL,Marshall,1095,19710551721,93019,35810,902111,0,0,0,42101,5740,0,0,0
AL,Mobile,1097,1.25058E+11,412992,158435,5697544,0,0,0,168743,29059,0,0,0
AL,Monroe,1099,7693531300,23068,9214,286313,2.702830959,1.337097295,0.187111831,11955,1270,0.011716798,0.00579633,0.014733215
AL,Montgomery,1101,71565232945,229363,89981,3619072,0,0,0,91743,17106,0,0,0
AL,Morgan,1103,29781100461,119490,47030,1511575,0,0,0,44765,6446,0,0,0
AL,Perry,1105,3317060900,10591,3947,98436,0,0,0,6410,1054,0,0,0
AL,Pickens,1107,5535251000,19746,8012,207403,0,0,0,9957,1694,0,0,0
AL,Pike,1109,8873511600,32899,13210,365873,0,0,0,15415,2602,0,0,0
AL,Randolph,1111,6666002100,22913,9164,267980,0,0,0,9513,1631,0,0,0
AL,Russell,1113,14469399006,52947,21229,588941,0,0,0,26609,4488,0,0,0
AL,Shelby,1117,53618408337,195085,74072,3868386,0,0,0,45246,4706,0,0,0
AL,St. Clair,1115,14495523337,83593,31624,747262,0,0,0,30437,4651,0,0,0
AL,Sumter,1119,4476045800,13763,5629,146318,21.49057625,13.70270672,3.498115303,7667,1598,0.15614747,0.099561918,0.218905839
AL,Talladega,1121,24662240809,82291,31890,945283,0,0,0,36810,6635,0,0,0
AL,Tallapoosa,1123,11239623203,41616,16985,464770,0,0,0,18409,2881,0,0,0
AL,Tuscaloosa,1125,52875528705,194656,76141,2606220,0,0,0,71305,7869,0,0,0
AL,Walker,1127,20286378500,67023,26571,834806,0,0,0,30773,4763,0,0,0
AL,Washington,1129,5645220500,17581,6758,257390,0,0,0,6551,1117,0,0,0
AL,Wilcox,1131,4524139800,11670,4484,110032,2.104822197,1.382845537,0.230307344,7066,1094,0.01803618,0.011849576,0.02105186
AL,Winston,1133,7937759506,24484,10163,302459,0,0,0,11845,1661,0,0,0
AR,Arkansas,5001,40011843600,19019,8005,398328,0,0,0,8043,1159,0,0,0
AR,Ashley,5003,35027722800,21853,8765,321885,0,0,0,10641,1770,0,0,0
AR,Baxter,5005,45053554500,41513,18748,429196,0,0,0,16843,2404,0,0,0
AR,Benton,5007,2.45344E+11,221339,82087,3379979,0,0,0,76243,6663,0,0,0
AR,Boone,5009,35068532603,36903,15120,317560,0,0,0,16308,2285,0,0,0
AR,Bradley,5011,25059751500,11508,4673,203106,0,0,0,6205,1037,0,0,0
AR,Calhoun,5013,10026960300,5368,2262,92534,0,0,0,2524,250,0,0,0
AR,Carroll,5015,25079751500,27446,11393,225706,0,0,0,13240,1530,0,0,0
AR,Chicot,5017,20068321000,11800,4579,130628,0,0,0,6207,1219,0,0,0
AR,Clark,5019,25099768603,22995,8783,258933,0,0,0,9525,1265,0,0,0
AR,Clay,5021,30131702100,16083,6845,247973,0,0,0,8084,1153,0,0,0
AR,Cleburne,5023,35164362206,25970,11078,370844,0,0,0,10296,1034,0,0,0
AR,Cleveland,5025,10051940300,8689,3416,102830,0,0,0,3023,538,0,0,0
AR,Columbia,5027,25139751500,24552,9759,240812,0,0,0,10378,2070,0,0,0
AR,Conway,5029,30179702100,21273,8463,282695,0,0,0,9564,1454,0,0,0
AR,Craighead,5031,85527010215,96443,37291,880786,0,0,0,42416,6024,0,0,0
AR,Crawford,5033,55363223717,61948,23447,511748,0,0,0,27010,3381,0,0,0
AR,Crittenden,5035,1.00701E+11,50902,19026,939625,0,0,0,24452,4079,0,0,0
AR,Cross,5037,30227702100,17870,7002,282841,0,0,0,8237,1227,0,0,0
AR,Dallas,5039,15119910600,8116,3280,146152,106.2963197,50.86032935,4.669770672,3279,547,1.309713156,0.626667439,0.85370579
AR,Desha,5041,25209751500,13008,5321,199303,0,0,0,6515,1448,0,0,0
AR,Drew,5043,25217451500,18509,7360,208453,0,0,0,8513,1426,0,0,0
AR,Faulkner,5045,1.26126E+11,113237,42614,1558459,0,0,0,39492,4677,0,0,0
AR,Franklin,5047,15143850600,18125,7037,137665,0,0,0,8171,1098,0,0,0
AR,Fulton,5049,10099100300,12245,5196,83430,0,0,0,5951,977,0,0,0
AR,Garland,5051,1.0102E+11,96024,40994,911474,0,0,0,41027,5407,0,0,0
AR,Grant,5053,20213881000,17853,6933,221541,0,0,0,5918,620,0,0,0
AR,Greene,5055,45499324403,42090,16425,431689,0,0,0,17419,2815,0,0,0
AR,Hempstead,5057,25287401500,22609,8839,221850,0,0,0,11616,1154,0,0,0
